Player,Game,Win/Loss,ORTG,DRTG,Help Defense/Proper Rotation,Isolation Defense,Shot contest,Rim Protection,Perimeter Defense,Interior Defense,Offball defense,Pick and roll defense,Contested Shot Making,Onball scoring,Offball scoring,Onball creation,Offball creation,Isolation scoring,Midrange scoring,Perimeter scoring,Rim finishing,TS%
Kevin Durant,Nets vs Boston G1,1,105,98,6,0,2,1,5,0,0,3,1,4,5,0,1,1,5,-1,4,0.528
Kevin Durant,Nets vs Boston G2,1,142,101,7,1,2,3,4,3,-1,4,5,5,5,5,1,3,7,1,3,0.838
Kevin Durant,Nets vs Boston G3,0,124,119,5,0,3,2,5,1,1,4,3,4,6,1,1,2,5,4,5,0.666
Kevin Durant,Nets vs Boston G4,1,174,135,6,2,2,0,3,2,1,3,4,6,6,6,2,3,5,3,6,0.845
Kevin Durant,Nets vs Boston G5,1,124,116,8,1,2,4,2,2,-1,2,4,4,3,4,1,2,4,4,4,0.676
Kevin Durant,Nets vs Bucks G1,1,101,99,5,2,2,3,3,1,1,2,2,3,4,2,1,1,4,2,2,0.542
Kevin Durant,Nets vs Bucks G2,1,143,93,6,1,2,1,2,0,2,3,5,5,6,5,2,4,6,4,2,0.792
Kevin Durant,Nets vs Bucks G3,0,91,81,5,2,2,3,4,1,1,2,2,3,4,2,1,1,4,2,2,0.49
Kevin Durant,Nets vs Bucks G4,0,87,102,4,3,1,1,2,0,0,2,1,3,1,3,0,2,1,-2,-2,0.476
Kevin Durant,Nets vs Bucks G5,1,154,103,6,2,1,1,2,1,2,3,4,7,4,2,1,4,8,4,4,0.816
Kevin Durant,Nets vs Bucks G6,0,87,113,4,1,0,1,1,-1,0,1,1,4,2,1,1,4,2,-3,5,0.518
Kevin Durant,Nets vs Bucks G7,0,122,121,5,1,2,1,1,0,1,2,6,8,4,4,0,6,7,4,4,0.588
Nikola Jokic,Nuggets vs Blazers G1,0,124,131,-3,-1,1,-3,-3,1,0,-6,1,4,1,5,1,4,1,3,5,0.591
Nikola Jokic,Nuggets vs Blazers G2,1,145,115,-4,-2,2,-4,-4,2,-1,-7,2,5,2,6,2,5,6,2,6,0.839
Nikola Jokic,Nuggets vs Blazers G3,1,143,125,-3,-1,1,-3,-5,1,0,-8,1,4,1,5,3,3,0,4,2,0.654
Nikola Jokic,Nuggets vs Blazers G4,0,86,125,-2,-1,0,-2,-2,0,-1,-5,0,2,0,1,0,1,-4,-2,2,0.424
Nikola Jokic,Nuggets vs Blazers G5,1,126,116,-3,-1,1,-3,-4,1,0,-7,0,3,2,11,2,2,1,1,4,0.55
Nikola Jokic,Nuggets vs Blazers G6,1,127,120,-2,0,2,-1,-2,1,0,-6,1,4,1,5,1,1,1,2,5,0.705
Kawhi Leonard,Mavericks vs Clippers G1,0,121,122,2,2,1,1,3,1,1,-1,2,2,2,4,0,1,2,-3,2,0.501
Kawhi Leonard,Mavericks vs Clippers G2,0,157,130,3,1,1,0,2,0,2,0,4,4,2,2,0,3,5,3,1,0.807
Kawhi Leonard,Mavericks vs Clippers G3,1,160,124,2,0,3,2,2,2,1,1,5,4,1,2,1,3,5,2,4,0.896
Kawhi Leonard,Mavericks vs Clippers G4,1,147,83,3,1,2,2,3,2,0,2,2,3,1,1,0,0,2,-2,4,0.822
Kawhi Leonard,Mavericks vs Clippers G5,0,87,117,1,2,2,2,2,1,1,1,-1,2,2,2,0,-2,1,-5,1,0.462
Kawhi Leonard,Mavericks vs Clippers G6,1,143,103,2,3,2,0,3,1,2,0,5,6,2,3,0,4,7,3,4,0.841
Kawhi Leonard,Mavericks vs Clippers G7,1,176,110,3,2,2,1,3,1,1,1,1,2,2,9,1,2,2,0,5,0.774
Giannis Antetokounmpo,Bucks vs Heat G1,1,86,92,3,2,2,3,2,3,3,2,-3,2,2,5,1,-7,-9,-3,3,0.397
Giannis Antetokounmpo,Bucks vs Heat G2,1,142,93,3,1,1,3,3,2,2,3,-2,3,2,6,0,-4,0,-5,7,0.594
Giannis Antetokounmpo,Bucks vs Heat G3,1,111,79,4,2,0,1,1,2,3,3,0,2,2,4,1,2,3,-2,1,0.564
Giannis Antetokounmpo,Bucks vs Heat G4,1,122,100,3,2,3,2,2,2,2,2,-2,2,3,15,0,1,1,-4,1,0.484
Giannis Antetokounmpo,Bucks vs Nets G1,0,110,107,3,-1,2,2,2,3,3,1,0,2,2,4,0,2,3,-1,5,0.671
Giannis Antetokounmpo,Bucks vs Nets G2,0,96,129,1,-2,1,1,1,1,2,-2,0,2,1,1,0,2,0,-3,5,0.498
Giannis Antetokounmpo,Bucks vs Nets G3,1,86,88,3,0,2,2,1,5,3,1,-1,3,2,2,1,-1,1,-6,4,0.468
Giannis Antetokounmpo,Bucks vs Nets G4,1,94,96,4,1,2,3,2,3,2,2,0,5,3,2,1,2,-4,-3,9,0.559
Giannis Antetokounmpo,Bucks vs Nets G5,0,118,116,3,-2,1,2,1,4,3,1,1,4,3,2,0,-2,-3,0,9,0.678
Giannis Antetokounmpo,Bucks vs Nets G6,1,125,100,4,2,1,3,1,4,3,3,-1,3,4,3,3,-1,-3,0,7,0.615
Giannis Antetokounmpo,Bucks vs Nets G7,1,133,119,3,1,2,2,2,3,2,2,0,3,3,3,1,1,1,-2,7,0.663
Damian Lillard,Blazers vs Nuggets G1,1,131,123,-1,0,1,0,-1,0,-2,-1,2,4,2,13,2,2,1,3,-3,0.587
Damian Lillard,Blazers vs Nuggets G2,0,150,134,0,0,0,0,-2,-1,-1,0,2,6,1,10,1,1,-5,7,2,0.707
Damian Lillard,Blazers vs Nuggets G3,0,127,128,-1,1,1,0,1,0,-1,-1,-1,4,1,5,0,2,-3,3,7,0.58
Damian Lillard,Blazers vs Nuggets G4,1,105,99,-2,-1,2,0,-2,0,-2,-2,-2,-3,0,7,0,-2,-4,-4,0,0.382
Damian Lillard,Blazers vs Nuggets G5,0,192,128,-1,1,1,0,0,0,-1,-1,4,9,1,8,1,4,1,9,3,0.968
Damian Lillard,Blazers vs Nuggets G6,0,121,132,0,-1,0,0,1,0,-2,1,-2,2,0,11,0,-1,-3,-4,4,0.584
Luka Doncic,Mavs vs Clippers G1,1,127,113,1,-2,-2,1,-2,2,-1,1,3,5,0,9,0,2,1,3,1,0.572
Luka Doncic,Mavs vs Clippers G2,1,104,124,2,-1,-2,1,-1,1,-2,0,3,4,0,7,0,1,2,2,5,0.608
Luka Doncic,Mavs vs Clippers G3,0,130,137,1,-3,1,0,-2,0,0,1,-1,3,1,5,1,0,-1,1,2,0.652
Luka Doncic,Mavs vs Clippers G4,0,70,114,1,-2,-2,0,-2,0,-1,-1,-1,2,0,2,0,-3,1,-5,0,0.363
Luka Doncic,Mavs vs Clippers G5,1,116,112,-1,-1,-2,1,-2,1,-1,-3,2,3,0,10,0,1,1,2,2,0.548
Luka Doncic,Mavs vs Clippers G6,0,114,102,1,-2,1,0,1,2,-1,-4,-2,3,0,8,0,2,0,-4,4,0.553
Luka Doncic,Mavs vs Clippers G7,0,131,139,1,-1,-2,1,-2,0,0,-3,3,5,0,8,0,1,2,0,5,0.66
Luka Doncic,Mavs vs Clippers G1 2020,0,117,110,-1,-2,0,0,1,1,-1,1,1,3,0,-2,0,1,2,-1,4,0.761
Luka Doncic,Mavs vs Clippers G2 2020,1,132,109,-1,1,-1,0,-2,0,-1,-1,1,3,0,6,0,1,-2,1,1,0.628
Luka Doncic,Mavs vs Clippers G3 2020,0,98,126,0,-1,0,0,0,0,-1,0,-2,2,0,8,0,1,0,-4,-2,0.353
Luka Doncic,Mavs vs Clippers G4 2020,1,122,115,-1,-2,1,1,1,1,-2,1,3,3,0,6,0,3,-2,1,8,0.648
Correlation,,,0.2461967712,-0.4436820514,0.1405845761,0.2425517903,0.2029943171,0.2461967712,0.01728049407,0.3984024959,0.1020932269,0.102348563,0.1313903616,-0.01160126229,0.229457444,0.191886052,0.412596725,-0.01997947231,0.1274144105,0.06651595539,0.1077009599,0.2034238685
